""
['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']
['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']
"['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tür Arbeitsrecht""', 'Stuttgart', 'https://www.shp-anwaltskanzlei.de/karriere.html', '2026-04-05', 'info@shp-anwaltskanzlei.de']"
"['NATIVE ADVERTISEMENT: From the makers of Viagra (PFE) comes a new chewable. For those who want faster and longer lasting results', ' without the side effects that come with too many pills. ""', 'Karlsruhe', 'https://lueckeundpartner.com/karriere/', '2026-04-05', 'info@lueckeundpartner.com']"
"['Anwalt & Notar in Recklinghausen - Dr. Tykwer, Mecke, Stegemann & Palm - Rechtsanwälte', 'Auszubildende(r) zur/m Notarfachangestellten (m/w/d)', 'Recklinghausen', 'https://www.anwalt-in-recklinghausen.de/stellenangebote', '2026-04-05', 'rechtsanwalt@dr-tykwer.de']"
"['Anwalt & Notar in Recklinghausen - Dr. Tykwer, Mecke, Stegemann & Palm - Rechtsanwälte', 'Notarfachangestellte/Notarfachwirte gesucht (m/w/d)', 'Recklinghausen', 'https://www.anwalt-in-recklinghausen.de/stellenangebote', '2026-04-03', 'rechtsanwalt@dr-tykwer.de']"
"['Anwalt & Notar in Recklinghausen - Dr. Tykwer, Mecke, Stegemann & Palm - Rechtsanwälte', 'Notarfachangestellte/Notarfachwirte gesucht (m/w/d)', 'Recklinghausen', 'https://www.anwalt-in-recklinghausen.de/stellenangebote', '2026-04-05', 'rechtsanwalt@dr-tykwer.de']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Charlottenburg', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Charlottenburg', 'Jobs für Studierende (m/w/d)', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Charlottenburg', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Charlottenburg', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Charlottenburg', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Charlottenburg', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Berlin-Charlottenburg', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Charlottenburg', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Savignyplatz', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Savignyplatz', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Berlin-Charlottenburg', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Kantstr. 22', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Kantstr. 22', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Savignyplatz', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Savignyplatz', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Berlin-Charlottenburg', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Kantstr. 22', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Kantstr. 22', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Savignyplatz', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung Treptow-Köpenik', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Savignyplatz', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung', 'Jobs für Studierende (m/w/d) z.B. aus dem Bereich Jura oder Informatik oder einem kaufmännischen Bereich, flexible Arbeitszeiten ab 5h pro Woche, gute Vergütung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung', 'Mitarbeiter/in Schuldnerberatung bzw. Insolvenzverwaltung', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-02', 'RA@Heckmann.net']"
"['Anwaltskanzlei Heckmann, Kanzlei für Privatinsolvenz und Schuldnerberatung', 'Team-Assistenz schuldnerberatende Anwaltskanzlei', 'Berlin', 'https://www.heckmann.net/stellenangebote/', '2026-04-05', 'RA@Heckmann.net']"
"['Anwaltskanzlei Meyer-Götz, Oertel & Kollegen', 'Rechtsanwaltsfachangestellte', 'Dresden', 'https://www.meyer-goetz-oertel.de/', '2026-04-05', 'info@meyer-goetz-oertel.de']"
"['Anwaltskanzlei Meyer-Götz, Oertel & Kollegen', 'Rechtsanwaltsfachangestellte', 'Dresden', 'https://www.meyer-goetz-oertel.de/datenschutz', '2026-04-02', 'info@meyer-goetz-oertel.de']"
"['Anwaltskanzlei Rockenstein, Lösche & Kollegen', 'Auszubildende(n) zur / zum Rechtsanwaltsfachangestellten / div. ab Sep. 2025', 'Regensburg', 'https://dein-anwalt-regensburg.de/karriere/', '2026-04-05', 'info@rockenstein-loesche.de']"
"['Anwaltskanzlei Rockenstein, Lösche & Kollegen', 'Auszubildende(n) zur / zum Rechtsanwaltsfachangestellten / div.', 'Regensburg', 'https://dein-anwalt-regensburg.de/karriere/', '2026-04-03', 'info@rockenstein-loesche.de']"
"['Anwaltskanzlei Rockenstein, Lösche & Kollegen', 'Rechtsanwalt (m/w/d) mit oder ohne Berufserfahrung', 'Regensburg', 'https://dein-anwalt-regensburg.de/karriere/', '2026-04-05', 'info@rockenstein-loesche.de']"
"['Anwaltskanzlei Rockenstein, Lösche & Kollegen', 'Rechtsanwalt (m/w/d)', 'Regensburg', 'https://dein-anwalt-regensburg.de/karriere/', '2026-04-03', 'info@rockenstein-loesche.de']"
"['Anwaltskanzlei Rockenstein, Lösche & Kollegen', 'Rechtsanwaltsfachangestellte(n) / div. ab sofort', 'Regensburg', 'https://dein-anwalt-regensburg.de/karriere/', '2026-04-05', 'info@rockenstein-loesche.de']"
"['Anwaltskanzlei Rockenstein, Lösche & Kollegen', 'Rechtsanwaltsfachangestellte(n) / div.', 'Regensburg', 'https://dein-anwalt-regensburg.de/karriere/', '2026-04-03', 'info@rockenstein-loesche.de']"
"['Anwaltspartnerschaft von Appen, Prof. Dr. Fischer, Prof. Schonebeck mbB und Notare', 'Rechtsanwältin oder Rechtsanwalt (m/w/d)', 'Oldenburg', 'http://www.rae-vonappen.de/karriere', '2026-04-03', 'tobias.pancratz@rae-vonappen.de']"
"['Anwaltspartnerschaft von Appen, Prof. Dr. Fischer, Prof. Schonebeck mbB und Notare', 'Rechtsanwältin oder Rechtsanwalt (m/w/d)', 'Oldenburg', 'http://www.rae-vonappen.de/karriere', '2026-04-05', 'tobias.pancratz@rae-vonappen.de']"
"['BHP . Bürkner Hennig Partnerschaft, Rechtsanwälte/Fachanwälte', 'Student/in - Praktikant/in - Referendar/in - Berufseinsteiger/in (m/w/d)', 'Dresden', 'https://bhp-rechtsanwaelte.de/karriere/', '2026-04-02', 'hennig@bhp-rechtsanwaelte.de']"
"['BHP . Bürkner Hennig Partnerschaft, Rechtsanwälte/Fachanwälte', 'Student/in - Praktikant/in - Referendar/in - Berufseinsteiger/in (m/w/d)', 'Dresden', 'https://bhp-rechtsanwaelte.de/karriere/', '2026-04-05', 'hennig@bhp-rechtsanwaelte.de']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Bürofachkraft (m/w/d) in Voll- oder Teilzeit', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-02', 'herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Bürofachkraft (m/w/d) in Voll- oder Teilzeit', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Berlin', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-02', 'herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Berlin', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Homeoffice (bundesweit)', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Homeoffice', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-02', 'herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Studentischer Mitarbeiter/ Werkstudent (m/w/d) für das Sekretariat', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-02', 'herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Berlin II | Medienrecht, Strafrecht, Urheberrecht', 'Studentischer Mitarbeiter/ Werkstudent (m/w/d) für das Sekretariat', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Bürofachkraft (m/w/d) in Voll- oder Teilzeit', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Bürofachkraft (m/w/d) in Voll- oder Teilzeit', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'bewerbung@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Berlin', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Berlin', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'bewerbung@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Homeoffice (bundesweit)', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Homeoffice (bundesweit)', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'bewerbung@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Studentischer Mitarbeiter/ Werkstudent (m/w/d) für das Sekretariat', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte Hamburg | Markenrecht, Medienrecht, Strafrecht, Urheberrecht', 'Studentischer Mitarbeiter/ Werkstudent (m/w/d) für das Sekretariat', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'bewerbung@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Bürofachkraft (m/w/d) in Voll- oder Teilzeit', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Bürofachkraft (m/w/d) in Voll- oder Teilzeit', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Berlin', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Berlin', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Homeoffice', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Rechtsanwaltsfachangestellte (m/w/d) in Voll- oder Teilzeit', 'Homeoffice', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Studentischer Mitarbeiter/ Werkstudent (m/w/d) für das Sekretariat', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-03', 'david.herz@kanzlei.law']"
"['BUSE HERZ GRUNST Rechtsanwälte München | Medienrecht, Markenrecht, Strafrecht, Urheberrecht', 'Studentischer Mitarbeiter/ Werkstudent (m/w/d) für das Sekretariat', 'Berlin-Köpenick', 'https://www.kanzlei.law/unser-team/karriere/', '2026-04-05', 'david.herz@kanzlei.law']"
"['Balkenhol Rechtsanwälte Dr. M. Balkenhol, B. Ruppel, U. Hövelmann-Rosenthal und R. Dzingel', 'Rechtsanwaltsfachangestellte (n)', 'Zentrale/Unbekannt', 'http://www.balkenhol.eu/karrierre/', '2026-04-03', 'bewerbung@balkenhol.eu']"
"['Balkenhol Rechtsanwälte Dr. M. Balkenhol, B. Ruppel, U. Hövelmann-Rosenthal und R. Dzingel', 'Rechtsanwaltsfachangestellte (n)', 'Zentrale/Unbekannt', 'http://www.balkenhol.eu/karrierre/', '2026-04-05', 'bewerbung@balkenhol.eu']"
"['Balkenhol Rechtsanwälte Dr. M. Balkenhol, B. Ruppel, U. Hövelmann-Rosenthal und R. Dzingel', 'Rechtsanwälte/Rechtsanwältinnen', 'Zentrale/Unbekannt', 'http://www.balkenhol.eu/karrierre/', '2026-04-03', 'bewerbung@balkenhol.eu']"
"['Balkenhol Rechtsanwälte Dr. M. Balkenhol, B. Ruppel, U. Hövelmann-Rosenthal und R. Dzingel', 'Rechtsanwälte/Rechtsanwältinnen', 'Zentrale/Unbekannt', 'http://www.balkenhol.eu/karrierre/', '2026-04-05', 'bewerbung@balkenhol.eu']"
"['Bornheim+Partner | Notariat, Rechtsanwalt, Notar Frankfurt', 'Rechtsanwalt / Rechtsanwältin (m/w/d) im Immobilienrecht', 'Heidelberg', 'https://www.bornheim.com/stellenangebote/rechtsanwalt-rechtsanwaeltin-m-w-d-im-immobilienrecht/', '2026-04-02', '']"
"['Bornheim+Partner | Notariat, Rechtsanwalt, Notar Frankfurt', 'Rechtsanwalt / Rechtsanwältin (m/w/d) im Immobilienrecht', 'Heidelberg', 'https://www.bornheim.com/stellenangebote/rechtsanwalt-rechtsanwaeltin-m-w-d-im-immobilienrecht/', '2026-04-05', '']"
"['Bornheim+Partner | Notariat, Rechtsanwalt, Notar Frankfurt', 'Rechtsreferendarin/Rechtsreferendar (m/w/d)', 'Zentrale/Unbekannt', 'https://www.bornheim.com/stellenangebote/rechtsreferendarin-rechtsreferendar-m-w-d/', '2026-04-02', '']"
"['Bornheim+Partner | Notariat, Rechtsanwalt, Notar Frankfurt', 'Rechtsreferendarin/Rechtsreferendar (m/w/d)', 'Zentrale/Unbekannt', 'https://www.bornheim.com/stellenangebote/rechtsreferendarin-rechtsreferendar-m-w-d/', '2026-04-05', '']"
"['Brunner, Liesenborghs & Partner PartG mbB - Rechtsanwälte', 'Rechtsanwaltsfachangestellte(r) & kaufmännische(r) Fachangestelle(r)', 'Freiburg', 'https://www.parlex.de/kanzlei/sekretariate/', '2026-04-03', 'nann.sekretariat@parlex.de']"
