"canonical_firm_id","Unternehmensname","Domainname des Unternehmens","Jobboard_URL","strategy","adapter","ats","status","reason","http_status","html_job_count","json_job_count","signals","analyzed_at"
"kapellmann-und","Kapellmann und Partner Rechtsanwälte mbB","kapellmann.de","https://www.kapellmann.de/de/karriere/","playwright","","unknown","needs_browser","Seite wirkt JavaScript-/Pagination-getrieben.","200","0","0","load_more,host:kapellmann.de","2026-06-19"
"jones-day","Jones Day","jonesday.com","https://www.jonesday.com/en/careers/locations/germany?tab=opportunities","playwright","","unknown","needs_browser","Seite wirkt JavaScript-/Pagination-getrieben.","200","0","0","pagination,js_app,host:www.jonesday.com","2026-06-19"
"hengeler-mueller","Hengeler Mueller","hengeler.com","https://www.hengeler.com/de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","6","0","load_more,pagination,host:www.hengeler.com","2026-06-19"
"goehmann-und-abogados","Göhmann Rechtsanwälte & abogados","goehmann.de","https://www.goehmann.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","11","0","json_ld,pagination,blocked,host:www.goehmann.de","2026-06-19"
"friedrich-graf-von-westphalen-und","Friedrich Graf von Westphalen & Partner mbB / Rechtsanwälte","fgvw.de","https://www.fgvw.de/de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","10","0","json_ld,load_more,pagination,blocked,host:www.fgvw.de","2026-06-19"
"goerg-von-rechtsanwaelten","GÖRG Partnerschaft von Rechtsanwälten mbB","goerg.de","https://www.goerg.de/de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","10","0","host:www.goerg.de","2026-06-19"
"cms","CMS","cms.law","https://cms.law/de/deu/stellenausschreibungen","special_dom","cms","unknown","ready","Spezialadapter cms erkannt.","","0","0","","2026-06-19"
"a-und-o-shearman","A&O Shearman","aoshearman.com","https://careers.aoshearman.com/en/search-jobs","special_api","radancy:aoshearman","unknown","ready","Spezialadapter radancy:aoshearman erkannt.","","0","0","","2026-06-19"
"ashurst","Ashurst","ashurst.com","https://www.ashurst.com/en/careers/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","load_more,pagination,host:www.ashurst.com","2026-06-19"
"dla-group","DLA Group","dla.com","https://careers.dlapiper.com/jobs/index.html","special_api","api:dlapiper","unknown","ready","Spezialadapter api:dlapiper erkannt.","","0","0","","2026-06-19"
"greenberg-traurig","Greenberg Traurig, LLP","gtlaw.de","https://www.gtlaw.com/de/general/careers/berlin/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","blocked,host:www.gtlaw.com","2026-06-19"
"hws","HWS","hws.de","https://www.hws.de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","10","0","pagination,host:www.hws.de","2026-06-19"
"pricewaterhousecoopers-rechtsanwaltsgesellschaft","PricewaterhouseCoopers Legal AG Rechtsanwaltsgesellschaft","legal.pwc.de","https://jobs.pwc.de/de/de/c/legal-jobs","special_api","api:pwc-phenom","unknown","ready","Spezialadapter api:pwc-phenom erkannt.","","0","0","","2026-06-19"
"taylor-wessing","Taylor Wessing","taylorwessing.com","https://www.taylorwessing.com/en/careers","llm_fallback","","unknown","fallback","Keine Jobs im HTML/JSON erkannt.","200","0","0","json_ld,host:www.taylorwessing.com","2026-06-19"
"mcdermott-will-und-schulte","McDermott Will & Schulte","mwe.com","https://careers.mcdermottlaw.com/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","4","0","json_ld,js_app,host:careers.mcdermottlaw.com","2026-06-19"
"linklaters","Linklaters","linklaters.de","https://www.linklaters.com/en/careers","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","2","1","next_data,json_ld,load_more,pagination,blocked,js_app,host:www.linklaters.com","2026-06-19"
"k-und-l-gates","K&L Gates","klgates.com","https://www.klgates.com/careers","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","2","0","pagination,js_app,host:www.klgates.com","2026-06-19"
"hogan-lovells","Hogan Lovells","hoganlovells.com","https://www.hoganlovells.com/en/global-careers","llm_fallback","","unknown","fallback","Keine Jobs im HTML/JSON erkannt.","200","0","0","host:www.hoganlovells.com","2026-06-19"
"advant-beiten","Advant Beiten","advant-beiten.com","https://www.advant-beiten.com/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","pagination,blocked,host:www.advant-beiten.com","2026-06-19"
"redeker-sellner-dahs","REDEKER SELLNER DAHS","redeker.de","https://www.redeker.de/de/#","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","25","0","host:www.redeker.de","2026-06-19"
"kpmg","KPMG","kpmg.com","https://kpmg.com/xx/en/careers.html","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","0","1","json_ld,pagination,host:kpmg.com","2026-06-19"
"hlb","HLB","hlb-deutschland.de","https://www.hlb-deutschland.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","4","0","json_ld,pagination,blocked,host:www.hlb-deutschland.de","2026-06-19"
"ecovis","Ecovis","ecovis.com","https://de.ecovis.com/karriere/","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","19","1","json_ld,load_more,pagination,host:de.ecovis.com","2026-06-19"
"etl-gruppe","ETL-Gruppe","etl.de","https://karriere.etl.de","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","7","0","json_ld,host:karriere.etl.de","2026-06-19"
"skadden-arps-slate-meagher-und-flom-and-affiliates","Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates","skadden.com","https://www.skadden.com/careers/staff/opportunities/non-us-opportunities","reader_or_llm","reader:skadden","unknown","ready","Reader-Adapter reader:skadden erkannt.","","0","0","","2026-06-19"
"pwc","PwC","pwc.com","https://jobs.pwc.de/de/de/jobs-experienced","skip","skip:pwc-general","unknown","intentional_skip","Ziel wird bewusst nicht separat gescraped.","","0","0","","2026-06-19"
"skw-schwarz","SKW Schwarz","skwschwarz.de","https://karriere.skwschwarz.de","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","8","1","nuxt,load_more,pagination,js_app,host:karriere.skwschwarz.de","2026-06-19"
"roedl-und","Rödl & Partner","roedl.com","https://www.roedl.com/compliance-meldestellen/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","7","0","json_ld,host:www.roedl.com","2026-06-19"
"pkf-fasselt-schlage-services-wirtschaftspruefungsgesellschaft-steuerberatungsgesellschaft","PKF FASSELT SCHLAGE Services GmbH Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft","pkf-fasselt.de","https://www.pkf-fasselt.de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","json_ld,js_app,host:www.pkf-fasselt.de","2026-06-19"
"noerr","Noerr","noerr.com","https://www.noerr.com/de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","2","0","next_data,load_more,pagination,js_app,host:www.noerr.com","2026-06-19"
"pinsent-masons","Pinsent Masons","pinsentmasons.com","https://www.pinsentmasons.com/de-de/karriere","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","6","1","json_ld,host:www.pinsentmasons.com","2026-06-19"
"forvis-mazars","Forvis Mazars","forvismazars.com","https://careers.forvismazars.com","playwright","","unknown","needs_browser","Seite wirkt JavaScript-/Pagination-getrieben.","200","0","0","js_app,host:careers.forvismazars.com","2026-06-19"
"latham-und-watkins","Latham & Watkins","lw.com","https://www.lwcareers.com/en/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","2","0","host:www.lwcareers.com","2026-06-19"
"kpmg","KPMG Law","kpmg-law.com","https://kpmg-law.com","llm_fallback","","unknown","request_error","ConnectTimeout","","0","0","","2026-06-19"
"heuking","Heuking","heuking.de","https://www.heuking.de/de/karriere/karriere.html","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","26","0","json_ld,host:www.heuking.de","2026-06-19"
"gvw-graf-von-westphalen","GvW Graf von Westphalen","gvw.com","https://karriere.gvw.com","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","3","1","json_ld,js_app,host:karriere.gvw.com","2026-06-19"
"fieldfisher","Fieldfisher","fieldfisher.com","https://fieldfisher-karriere.de/jobs/","special_dom","dom:fieldfisher","unknown","ready","Spezialadapter dom:fieldfisher erkannt.","","0","0","","2026-06-19"
"rsm-ebner-stolz","RSM Ebner Stolz","ebnerstolz.de","https://www.ebnerstolz.de/de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","12","0","json_ld,host:www.ebnerstolz.de","2026-06-19"
"dla-piper","DLA Piper","dlapiper.com","https://www.dlapiper.com/en-de/careers","special_api","api:dlapiper","unknown","ready","Spezialadapter api:dlapiper erkannt.","","0","0","","2026-06-19"
"dentons","Dentons","dentons.com","https://careers.dentons.com/go/Opportunities-in-Germany/8677402/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","6","0","load_more,pagination,host:careers.dentons.com","2026-06-19"
"clifford-chance","Clifford Chance","cliffordchance.com","https://www.cliffordchance.com/careers.html","llm_fallback","","unknown","fallback","Keine Jobs im HTML/JSON erkannt.","200","0","0","json_ld,host:www.cliffordchance.com","2026-06-19"
"deloitte","Deloitte Legal","www2.deloitte.com","https://www.deloitte.com/de/de.html#","playwright","","unknown","needs_browser","Seite wirkt JavaScript-/Pagination-getrieben.","200","0","0","pagination,host:www.deloitte.com","2026-06-19"
"buse-heberer-fromm","Buse Heberer Fromm","buse.de","https://buse.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","5","0","json_ld,pagination,host:buse.de","2026-06-19"
"bld-bach-langheid-dallmayr-partnerschaftsgesellschaft","BLD Bach Langheid Dallmayr Rechtsanwälte Partnerschaftsgesellschaft mbB","bld.de","https://www.bld.de/karriere/","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","4","1","json_ld,host:www.bld.de","2026-06-19"
"bdo-germany","BDO Germany","bdo.de","https://talents.bdo.de/berufserfahrene","special_api","api:bdo-typesense","unknown","ready","Spezialadapter api:bdo-typesense erkannt.","","0","0","","2026-06-19"
"baker-tilly-germany","Baker Tilly Germany","bakertilly.de","https://karriere.bakertilly.de/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","6","0","host:karriere.bakertilly.de","2026-06-19"
"becker-buettner-held","Becker Büttner Held","bbh-online.de","https://www.bbh-karriere.de/de/","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","11","1","json_ld,host:www.bbh-karriere.de","2026-06-19"
"baker-mckenzie","Baker McKenzie","bakermckenzie.com","https://www.bakermckenzie.com/en/careers","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","js_app,host:www.bakermckenzie.com","2026-06-19"
"arnecke-sibeth-dabelstein","ARNECKE SIBETH DABELSTEIN","asd-law.com","https://asd-law.com/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","6","0","json_ld,host:asd-law.com","2026-06-19"
"dr-dienst-und-und-co","Dr. Dienst & Partner GmbH & Co. KG","hlb-ddp.de","https://ddp-gruppe.de/standort/koblenz/#","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","5","0","host:ddp-gruppe.de","2026-06-19"
"ypog","Ypog","ypog.law","https://www.ypog.law/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","pagination,blocked,host:www.ypog.law","2026-06-19"
"herbert-smith-freehills","Herbert Smith Freehills","hsfkramer.com","https://hsfkramer.com","llm_fallback","","unknown","request_error","HTTPError","","0","0","","2026-06-19"
"esche-schuemann-commichau","Esche Schümann Commichau","esche.de","https://www.esche.de/karriere/arbeiten-bei-esche","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","7","0","js_app,host:www.esche.de","2026-06-19"
"sonntag-und","Sonntag & Partner","sonntag-partner.de","https://www.sonntag-karriere.de/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","8","0","json_ld,pagination,host:www.sonntag-karriere.de","2026-06-19"
"oppenlaender","OPPENLÄNDER Rechtsanwälte","oppenlaender.de","https://oppenlaender.de/karriere-uebersicht/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","5","0","json_ld,host:oppenlaender.de","2026-06-19"
"mayer-brown","Mayer Brown","mayerbrown.com","https://www.mayerbrown.com/en/careers/business-services","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","5","0","next_data,load_more,js_app,host:www.mayerbrown.com","2026-06-19"
"kuemmerlein","Kümmerlein","kuemmerlein.de","https://www.kuemmerlein.de/karriere/warum-kuemmerlein/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","6","0","pagination,host:www.kuemmerlein.de","2026-06-19"
"kliemt-arbeitsrecht","KLIEMT.Arbeitsrecht","kliemt.de","https://kliemt.de/karriere/aktuelle-stellenangebote/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","12","0","blocked,host:talents.kliemt.de","2026-06-19"
"brp-renaud-und","BRP Renaud und Partner","brp.de","https://brp.de","llm_fallback","","unknown","request_error","SSLError","","0","0","","2026-06-19"
"brl-boege-rohde-luebbehuesen","BRL BOEGE ROHDE LUEBBEHUESEN","brl.de","https://karriere-brl.de/","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","7","2","json_ld,pagination,blocked,host:karriere-brl.de","2026-06-19"
"eagle-lsp","eagle lsp","eagle-lsp.de","https://eagle-lsp.jobs.personio.de/","special_api","personio:eagle","personio","ready","Spezialadapter personio:eagle erkannt.","","0","0","","2026-06-19"
"wuthold-und-braun","Wuthold & Braun","ihre-steuerberater.de","https://www.ihre-steuerberater.de/jobs-und-karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","3","0","json_ld,load_more,blocked,host:www.ihre-steuerberater.de","2026-06-19"
"wirtschaftstreuhand","WirtschaftsTreuhand","wirtschaftstreuhand.de","https://www.wirtschaftstreuhand.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","5","0","json_ld,blocked,host:www.wirtschaftstreuhand.de","2026-06-19"
"wedding-und","Wedding & Partner","wedding-partner.de","https://wedding-partner.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","12","0","pagination,blocked,js_app,host:wedding-partner.de","2026-06-19"
"winheller-tax-relax","WINHELLER | Law.Tax.Relax.","winheller.com","https://www.winheller.com/karriere/aktuelle-stellenangebote.html","special_dom","dom:winheller","unknown","ready","Spezialadapter dom:winheller erkannt.","","0","0","","2026-06-19"
"seitz-weckbach-fackler-und","Seitz Weckbach Fackler & Partner","seitz-partner.de","https://www.seitz-partner.de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","11","0","json_ld,pagination,host:www.seitz-partner.de","2026-06-19"
"schomerus-und","Schomerus & Partner","schomerus.de","https://karriere.schomerus.de","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","8","0","json_ld,pagination,blocked,js_app,host:karriere.schomerus.de","2026-06-19"
"roser","Roser","roser-group.de","https://www.roser-group.de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","json_ld,host:www.roser-group.de","2026-06-19"
"reith-leisle-gabor","Reith Leisle Gabor","rlg-law.de","https://rlg-law.de/de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","host:rlg-law.de","2026-06-19"
"pkf-wms-bruns-coppenrath-und","PKF WMS Bruns-Coppenrath & Partner","pkf-wms.de","https://www.pkf-wms.de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","10","0","json_ld,blocked,js_app,host:www.pkf-wms.de","2026-06-19"
"pape-und-co","Pape & Co","pape-co.de","https://www.pape-co.de/karriere/jobs/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","21","0","json_ld,host:www.pape-co.de","2026-06-19"
"moore-treuhand-kurpfalz","Moore Treuhand Kurpfalz","moore-tk.de","https://moore-tk.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","7","0","json_ld,load_more,pagination,blocked,js_app,host:moore-tk.de","2026-06-19"
"lehleiter","Lehleiter + Partner","lehleiter.info","https://www.lehleiter-jobs.de/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","host:www.lehleiter-jobs.de","2026-06-19"
"kullen-mueller-zinser","Kullen Müller Zinser","kullen-mueller-zinser.de","https://kullen-mueller-zinser.de/#","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","8","0","json_ld,pagination,blocked,js_app,host:kullen-mueller-zinser.de","2026-06-19"
"kbht-kalus-hilger","KBHT Kalus + Hilger","kbht.de","https://www.kbht-karriere.de","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","7","1","json_ld,host:www.kbht-karriere.de","2026-06-19"
"husemann-eickhoff-salmen-und","Husemann Eickhoff Salmen & Partner","husemannpartner.de","https://www.husemannpartner.de/karriere/stellenangebote/","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","20","1","nuxt,pagination,host:www.husemannpartner.de","2026-06-19"
"hlb-stueckmann","HLB Stückmann","stueckmann.de","https://stueckmann.de","llm_fallback","","unknown","request_error","ConnectTimeout","","0","0","","2026-06-19"
"ehler-ermer-und","Ehler Ermer & Partner","eep.info","https://www.eep.info/karriere/durchstarten","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","13","2","json_ld,pagination,host:www.eep.info","2026-06-19"
"eureos","Eureos","eureos.de","https://www.eureos.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","12","0","pagination,host:www.eureos.de","2026-06-19"
"dornbach","Dornbach","dornbach.de","https://karriere.dornbach.de?utm_source=homepage&utm_medium=navi","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","0","1","nuxt,json_ld,js_app,host:karriere.dornbach.de","2026-06-19"
"dhmp","dhmp","dhmp.de","https://www.dhmp.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","7","0","json_ld,pagination,blocked,host:www.dhmp.de","2026-06-19"
"clostermann-und-jasper","Clostermann & Jasper","clostermann-jasper.de","https://clostermann-jasper.de/stellenangebote/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","31","0","json_ld,pagination,blocked,js_app,host:clostermann-jasper.de","2026-06-19"
"addleshaw-goddard","Addleshaw Goddard","addleshawgoddard.com","https://www.addleshawgoddard.com/en/careers/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","2","0","host:www.addleshawgoddard.com","2026-06-19"
"ahw-hunold-und","AHW Hunold & Partner","ahw-unternehmerkanzlei.de","https://ahw-gruppe.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","10","0","json_ld,pagination,blocked,js_app,host:ahw-gruppe.de","2026-06-19"
"adkl-abels-decker-kuhfuss-und","ADKL Abels Decker Kuhfuß & Partner","adkl-msi.de","https://www.adkl-msi.de/de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","2","0","json_ld,pagination,host:www.adkl-msi.de","2026-06-19"
"wellensiek-partnerschaftsgesellschaft","WELLENSIEK Rechtsanwälte Partnerschaftsgesellschaft mbB","wellensiek.de","https://wellensiek.de/wellensiek_home/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","json_ld,load_more,pagination,blocked,host:wellensiek.de","2026-06-19"
"schiebe-und-collegen","Schiebe und Collegen","schiebe.de","https://schiebe.de/karriere/","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","15","1","json_ld,load_more,pagination,blocked,host:schiebe.de","2026-06-19"
"petersen-hardraht-pruggmayer","Petersen Hardraht Pruggmayer","petersenhardrahtpruggmayer.de","https://petersenpartners.de/de/ueber-uns/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","4","0","host:petersenpartners.de","2026-06-19"
"meyerhuber","meyerhuber rechtsanwälte PartG mbB","meyerhuber.de","https://meyerhuber.de/karriere/","playwright","","unknown","needs_browser","Seite wirkt JavaScript-/Pagination-getrieben.","200","0","0","json_ld,load_more,pagination,blocked,js_app,host:meyerhuber.de","2026-06-19"
"goodwin-procter","Goodwin Procter","goodwinlaw.com","https://www.goodwinlaw.com/en/careers-pages/careers","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","next_data,js_app,host:www.goodwinlaw.com","2026-06-19"
"cohausz-und-florack-patent-und-partnerschaftsgesellschaft","COHAUSZ & FLORACK Patent- und Rechtsanwälte Partnerschaftsgesellschaft mbB","cohausz-florack.de","https://www.cohausz-florack.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","10","0","pagination,blocked,host:www.cohausz-florack.de","2026-06-19"
"hahn","Hahn Rechtsanwälte PartG mbB","hahn-rechtsanwaelte.de","https://hahn-rechtsanwaelte.de/karriere","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","3","1","json_ld,pagination,host:hahn-rechtsanwaelte.de","2026-06-19"
"eckert-partnerschaftsgesellschaft","Eckert Rechtsanwälte Steuerberater Partnerschaftsgesellschaft","eckert.law","https://eckert.law/karriere/","playwright","","unknown","needs_browser","Seite wirkt JavaScript-/Pagination-getrieben.","200","0","0","js_app,host:eckert.law","2026-06-19"
"hoecker","HÖCKER Rechtsanwälte PartGmbB","hoecker.eu","https://www.hoecker.eu/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","host:www.hoecker.eu","2026-06-19"
"kunz","KUNZ Rechtsanwälte Partnerschaft mbB","kunzrechtsanwaelte.de","https://www.kunzrechtsanwaelte.de/kanzlei/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","12","0","host:www.kunzrechtsanwaelte.de","2026-06-19"
"rotthege","Rotthege","rotthege.com","https://www.rotthege.com/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","4","0","json_ld,load_more,pagination,blocked,js_app,host:www.rotthege.com","2026-06-19"
"kraus-ghendler-ruvinskij","KRAUS GHENDLER RUVINSKIJ","anwalt-kg.de","https://anwalt-kg.de/kanzlei/karriere/","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","54","1","json_ld,js_app,host:anwalt-kg.de","2026-06-19"
"kmlz","KMLZ","kmlz.de","https://kmlz.de/de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","5","0","host:www.kmlz.de","2026-06-19"
"curacon","CURACON GmbH","curacon.de","https://www.curacon.de/karriere-bei-curacon/karriere-portal","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","3","1","json_ld,host:www.curacon.de","2026-06-19"
"dr-broll-schmit-kaufmann-und","Dr. Broll Schmit Kaufmann & Partner","bskp.de","https://bskp.de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","3","0","json_ld,pagination,blocked,js_app,host:bskp.de","2026-06-19"
